SUPPORT,CONFIDENCE,LIFT,LHS,RHS,COUNT
0.02584,0.2702702702702703,1,1370,"(1056,)",10
0.02584,0.17857142857142858,4,712,"(1240,)",10
0.02842,0.2391304347826087,1,710,"(951,)",10
0.02584,0.2439024390243902,1,757,"(953,)",10
0.02584,0.18518518518518517,1,953,"(757,)",10
0.02584,0.1408450704225352,1,1056,"(1370,)",10
0.02842,0.23404255319148937,3,705,"(635,)",10
0.02842,0.2894736842105263,2,61,"(1324,)",10
0.02584,0.5882352941176471,4,1240,"(712,)",10
0.02584,0.29411764705882354,3,1087,"(103,)",10
0.02842,0.22448979591836737,2,1324,"(61,)",10
0.02584,0.23809523809523808,1,1118,"(703,)",10
0.02584,0.3333333333333333,2,1245,"(1267,)",10
0.02584,0.37037037037037035,2,238,"(697,)",10
0.02584,0.16129032258064516,1,1120,"(1026,)",10
0.02584,0.20408163265306123,2,697,"(238,)",10
0.02584,0.31249999999999994,5,954,"(952,)",10
0.02584,0.5,3,1320,"(1120,)",10
0.02842,0.20370370370370372,3,1030,"(307,)",10
0.02584,0.5,3,708,"(1120,)",10
